id_empleado,nombre,sueldo
1,Empleado_1,2251963
2,Empleado_2,1664803
3,Empleado_3,1160301
4,Empleado_4,2320816
5,Empleado_5,605379
6,Empleado_6,1193156
7,Empleado_7,2122639
8,Empleado_8,1226116
9,Empleado_9,2356314
10,Empleado_10,1830897
11,Empleado_11,1816187
12,Empleado_12,1983996
13,Empleado_13,1626850
14,Empleado_14,2414582
15,Empleado_15,911627
16,Empleado_16,1536477
17,Empleado_17,1729485
18,Empleado_18,1615737
19,Empleado_19,1323777
20,Empleado_20,1297177
21,Empleado_21,1757454
22,Empleado_22,2199859
23,Empleado_23,1739655
24,Empleado_24,1391066
25,Empleado_25,1554926
26,Empleado_26,1274816
27,Empleado_27,2423686
28,Empleado_28,995632
29,Empleado_29,2062760
30,Empleado_30,1100811
31,Empleado_31,1799146
32,Empleado_32,1403148
33,Empleado_33,1089815
34,Empleado_34,2395189
35,Empleado_35,2226434
36,Empleado_36,1461457
37,Empleado_37,691535
38,Empleado_38,1267264
39,Empleado_39,2161759
40,Empleado_40,1591903
41,Empleado_41,2078970
42,Empleado_42,2301647
43,Empleado_43,1399499
44,Empleado_44,1409665
45,Empleado_45,1991856
46,Empleado_46,2261769
47,Empleado_47,2321232
48,Empleado_48,1967382
49,Empleado_49,918987
50,Empleado_50,1638779
51,Empleado_51,677635
52,Empleado_52,864757
53,Empleado_53,1653380
54,Empleado_54,1837698
55,Empleado_55,1296243
56,Empleado_56,2423893
57,Empleado_57,810479
58,Empleado_58,2433310
59,Empleado_59,2372176
60,Empleado_60,1523389
61,Empleado_61,809110
62,Empleado_62,1702999
63,Empleado_63,1558247
64,Empleado_64,632186
65,Empleado_65,2115074
66,Empleado_66,902315
67,Empleado_67,1459787
68,Empleado_68,2426478
69,Empleado_69,1973175
70,Empleado_70,923718
71,Empleado_71,756926
72,Empleado_72,1584593
73,Empleado_73,2238977
74,Empleado_74,1155793
75,Empleado_75,1310014
76,Empleado_76,1907069
77,Empleado_77,2052706
78,Empleado_78,1433582
79,Empleado_79,1962806
80,Empleado_80,768433
81,Empleado_81,2386281
82,Empleado_82,1289051
83,Empleado_83,2387489
84,Empleado_84,2014230
85,Empleado_85,2402171
86,Empleado_86,1719087
87,Empleado_87,1396937
88,Empleado_88,1264086
89,Empleado_89,1914493
90,Empleado_90,2107259
91,Empleado_91,2461093
92,Empleado_92,2192581
93,Empleado_93,1623300
94,Empleado_94,2429519
95,Empleado_95,1734592
96,Empleado_96,675285
97,Empleado_97,1894906
98,Empleado_98,743488
99,Empleado_99,1092348
100,Empleado_100,1923640
101,Empleado_101,2035289
102,Empleado_102,1202677
103,Empleado_103,1077073
104,Empleado_104,2166082
105,Empleado_105,789539
106,Empleado_106,1510104
107,Empleado_107,806450
108,Empleado_108,2194610
109,Empleado_109,1929065
110,Empleado_110,2076166
111,Empleado_111,2429931
112,Empleado_112,810778
113,Empleado_113,1530461
114,Empleado_114,948892
115,Empleado_115,2055425
116,Empleado_116,1228025
117,Empleado_117,2494617
118,Empleado_118,660706
119,Empleado_119,696450
120,Empleado_120,1280262
121,Empleado_121,2269633
122,Empleado_122,717690
123,Empleado_123,1215236
124,Empleado_124,1351752
125,Empleado_125,1386098
126,Empleado_126,1503215
127,Empleado_127,905281
128,Empleado_128,1112119
129,Empleado_129,1713936
130,Empleado_130,1464135
131,Empleado_131,1786837
132,Empleado_132,2029839
133,Empleado_133,2262033
134,Empleado_134,977606
135,Empleado_135,956481
136,Empleado_136,967147
137,Empleado_137,765608
138,Empleado_138,1878196
139,Empleado_139,2426283
140,Empleado_140,1402253
141,Empleado_141,1899626
142,Empleado_142,2032637
143,Empleado_143,1105056
144,Empleado_144,1643683
145,Empleado_145,1822969
146,Empleado_146,900139
147,Empleado_147,1086934
148,Empleado_148,1567101
149,Empleado_149,1937782
150,Empleado_150,1132629
151,Empleado_151,1563789
152,Empleado_152,1135458
153,Empleado_153,1998466
154,Empleado_154,619707
155,Empleado_155,2485147
156,Empleado_156,2287437
157,Empleado_157,1575706
158,Empleado_158,2489973
159,Empleado_159,1203207
160,Empleado_160,2021053
161,Empleado_161,1746299
162,Empleado_162,931298
163,Empleado_163,754899
164,Empleado_164,1526374
165,Empleado_165,1324703
166,Empleado_166,1832227
167,Empleado_167,1227371
168,Empleado_168,1939951
169,Empleado_169,1489840
170,Empleado_170,2047692
171,Empleado_171,1124493
172,Empleado_172,1558054
173,Empleado_173,2372730
174,Empleado_174,1233595
175,Empleado_175,1017788
176,Empleado_176,1406760
177,Empleado_177,2389574
178,Empleado_178,1613360
179,Empleado_179,823668
180,Empleado_180,1097456
181,Empleado_181,1399778
182,Empleado_182,1799408
183,Empleado_183,1352791
184,Empleado_184,1805467
185,Empleado_185,1220489
186,Empleado_186,2066494
187,Empleado_187,1219143
188,Empleado_188,646010
189,Empleado_189,2340714
190,Empleado_190,1980407
191,Empleado_191,1430064
192,Empleado_192,1175627
193,Empleado_193,616982
194,Empleado_194,1786839
195,Empleado_195,2414177
196,Empleado_196,2038225
197,Empleado_197,2232237
198,Empleado_198,2161683
199,Empleado_199,702853
200,Empleado_200,1871726
